mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.662352180480957,0.2553759639886577,0.030478191375732423,0.0069633967980938915,True,gini,,sqrt,2,10,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.8386657590197413,0.8468345813478557,0.8310626702997275,0.8276566757493188,0.8303814713896458,0.8349202315612578,0.006988863607120739,295
6.303970432281494,0.4758075143424683,0.07195968627929687,0.0076551813322146625,True,gini,,sqrt,2,10,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",0.8427501701837985,0.8447923757658271,0.8344686648501363,0.829700272479564,0.8290190735694822,0.8361461113697615,0.006534964643471703,107
1.2494348526000976,0.05164290227886701,0.01652207374572754,0.0036724730854618497,True,gini,,sqrt,4,2,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.8373042886317222,0.8454731109598366,0.8351498637602179,0.8317438692098093,0.8256130790190735,0.8350568423161319,0.00653787085223361,259
2.4989333152770996,0.15785422567619617,0.0322052001953125,0.004030371865122214,True,gini,,sqrt,4,2,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.8359428182437032,0.8461538461538461,0.8317438692098093,0.832425068119891,0.8310626702997275,0.8354656544053956,0.0056026466463036054,195
5.837838125228882,0.12485270963236811,0.0742870807647705,0.006386603791391242,True,gini,,sqrt,4,2,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",0.8427501701837985,0.8468345813478557,0.8303814713896458,0.8310626702997275,0.8344686648501363,0.8370995116142328,0.006560463355589328,17
1.2223892688751221,0.04910212501317352,0.014662361145019532,0.0018042292701998008,True,gini,,sqrt,4,5,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.8373042886317222,0.8454731109598366,0.8351498637602179,0.8317438692098093,0.8256130790190735,0.8350568423161319,0.00653787085223361,259
2.3709857940673826,0.025736847487002945,0.029583215713500977,0.003403334810155186,True,gini,,sqrt,4,5,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.8359428182437032,0.8461538461538461,0.8317438692098093,0.832425068119891,0.8310626702997275,0.8354656544053956,0.0056026466463036054,195
5.838107538223267,0.07023210541534887,0.07430987358093262,0.006781939340800559,True,gini,,sqrt,4,5,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",0.8427501701837985,0.8468345813478557,0.8303814713896458,0.8310626702997275,0.8344686648501363,0.8370995116142328,0.006560463355589328,17
1.1568140029907226,0.055232514340084624,0.013537359237670899,0.0018990028504669398,True,gini,,sqrt,4,10,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.8339006126616746,0.8427501701837985,0.832425068119891,0.8365122615803815,0.8262942779291553,0.8343764780949801,0.005367246940784508,393
2.350269079208374,0.08426991399757784,0.02965435981750488,0.0021202745209503576,True,gini,,sqrt,4,10,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.8373042886317222,0.8427501701837985,0.8337874659400545,0.8337874659400545,0.8269754768392371,0.8349209735069735,0.005151254365565712,283
5.9090088367462155,0.05732745239144653,0.07519850730895997,0.007223390849169169,True,gini,,sqrt,4,10,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500}",0.8427501701837985,0.8447923757658271,0.8303814713896458,0.8303814713896458,0.8303814713896458,0.8357373920237124,0.006591349567543864,153
1.257308578491211,0.020632226127060876,0.018914413452148438,0.0029296231192913313,True,gini,,log2,1,2,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8413886997957795,0.8529611980939414,0.8317438692098093,0.8249318801089919,0.8242506811989101,0.8350552656814865,0.010871266081948818,281
2.5662813663482664,0.018244647880659562,0.0366910457611084,0.004541236696570948,True,gini,,log2,1,2,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8359428182437032,0.8515997277059224,0.8344686648501363,0.8228882833787466,0.8222070844686649,0.8334213157294347,0.010720198975463814,517
6.261379909515381,0.05772341626148794,0.07756314277648926,0.005334726373174603,True,gini,,log2,1,2,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.8393464942137508,0.8488767869298843,0.8365122615803815,0.8242506811989101,0.829700272479564,0.8357372992804981,0.00842212654699859,155
1.2447270393371581,0.03462843136426518,0.01650238037109375,0.0031579607304369445,True,gini,,log2,1,5,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8359428182437032,0.8495575221238938,0.8358310626702997,0.8256130790190735,0.8256130790190735,0.8345115122152087,0.008815174317223066,385
2.502351093292236,0.04107819395733035,0.03302135467529297,0.004893312718607057,True,gini,,log2,1,5,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8359428182437032,0.8515997277059224,0.8344686648501363,0.8228882833787466,0.8290190735694822,0.8347837135495981,0.009580745738517247,333
6.36166729927063,0.09403501922900805,0.07370524406433106,0.005835591862743578,True,gini,,log2,1,5,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.8393464942137508,0.8488767869298843,0.8365122615803815,0.8249318801089919,0.8317438692098093,0.8362822584085634,0.00796859655480133,87
1.210094118118286,0.020186760725306244,0.016156339645385744,0.004131459608377681,True,gini,,log2,1,10,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8359428182437032,0.8468345813478557,0.8365122615803815,0.832425068119891,0.8331062670299727,0.8369641992643608,0.005179947142694871,25
2.4879292011260987,0.03773163618250231,0.030057096481323244,0.00200872913087968,True,gini,,log2,1,10,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.8420694349897889,0.8427501701837985,0.832425068119891,0.832425068119891,0.829700272479564,0.8358740027785867,0.005432684508290065,133
6.122963237762451,0.0959300518010172,0.07367439270019531,0.008044494043000183,True,gini,,log2,1,10,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.8420694349897889,0.8461538461538461,0.8365122615803815,0.8290190735694822,0.8310626702997275,0.8369634573186453,0.006460191221801788,27
1.2275352478027344,0.02301193779492243,0.015413331985473632,0.0020120248925370753,True,gini,,log2,2,2,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8400272294077604,0.8447923757658271,0.8351498637602179,0.8276566757493188,0.8208446866485014,0.8336941662663252,0.008566882936445168,477
2.493563508987427,0.05154187298878871,0.034160184860229495,0.0036986505554919362,True,gini,,log2,2,2,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8407079646017699,0.8420694349897889,0.832425068119891,0.8269754768392371,0.8262942779291553,0.8336944444959684,0.006646024947575629,473
6.222060203552246,0.09069516935343432,0.08365015983581543,0.010186712120476886,True,gini,,log2,2,2,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.8441116405718175,0.8495575221238938,0.8331062670299727,0.8262942779291553,0.832425068119891,0.837098955154946,0.008472561314136795,23
1.207246685028076,0.03843096762564006,0.016881561279296874,0.003870517794742152,True,gini,,log2,2,5,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8359428182437032,0.8488767869298843,0.8331062670299727,0.8283378746594006,0.8344686648501363,0.8361464823426192,0.006857615745803842,101
2.428088092803955,0.028590700758579116,0.030767154693603516,0.0026398563793098816,True,gini,,log2,2,5,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8352620830496936,0.8481960517358748,0.8310626702997275,0.8276566757493188,0.8317438692098093,0.8347842700088848,0.007127427807247243,319
6.1873863697052,0.0791143946087534,0.07774624824523926,0.006810656117675881,True,gini,,log2,2,5,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.8400272294077604,0.8447923757658271,0.8317438692098093,0.8303814713896458,0.8283378746594006,0.8350565640864887,0.00628434196204111,263
1.2395803928375244,0.02534447573187456,0.015262222290039063,0.0013588657041566676,True,gini,,log2,2,10,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.8373042886317222,0.8468345813478557,0.8331062670299727,0.8331062670299727,0.8283378746594006,0.8357378557397848,0.0062321949502727545,147
2.500451612472534,0.05794205994677912,0.02928767204284668,0.003394521534628338,True,gini,,log2,2,10,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.8386657590197413,0.8468345813478557,0.8310626702997275,0.8276566757493188,0.8303814713896458,0.8349202315612578,0.006988863607120739,295
6.070569372177124,0.0916908715054669,0.07288064956665039,0.005052786578296801,True,gini,,log2,2,10,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",0.8427501701837985,0.8447923757658271,0.8344686648501363,0.829700272479564,0.8290190735694822,0.8361461113697615,0.006534964643471703,107
1.183538293838501,0.02819140085964547,0.015529680252075195,0.004192620370037064,True,gini,,log2,4,2,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.8373042886317222,0.8454731109598366,0.8351498637602179,0.8317438692098093,0.8256130790190735,0.8350568423161319,0.00653787085223361,259
2.3406034469604493,0.047767558352430683,0.02952914237976074,0.0045484046126097,True,gini,,log2,4,2,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.8359428182437032,0.8461538461538461,0.8317438692098093,0.832425068119891,0.8310626702997275,0.8354656544053956,0.0056026466463036054,195
5.925513553619385,0.08555095743323751,0.06911377906799317,0.0021363973467223383,True,gini,,log2,4,2,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",0.8427501701837985,0.8468345813478557,0.8303814713896458,0.8310626702997275,0.8344686648501363,0.8370995116142328,0.006560463355589328,17
1.1975269317626953,0.03085532587194039,0.015922403335571288,0.00323140623991055,True,gini,,log2,4,5,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.8373042886317222,0.8454731109598366,0.8351498637602179,0.8317438692098093,0.8256130790190735,0.8350568423161319,0.00653787085223361,259
