toi,tid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_eqt,pl_insol,st_teff,st_logg,st_rad,ra,dec,tfopwg_disp,fe_h,gaia_source_id,Prediction,source_id,teff_gspspec,flags_gspspec,lum_flame,mass_flame,r_med_geo,r_lo_geo,r_hi_geo,flags_flame,teff_gspphot,ruwe,teff,hz_inner,hz_outer,a_orbit,isInHabitableZone
2884.01,TIC 318413374,2.935886,2.93,5900.0,14.3093,1645.0,1215.74,5896.0,3.97,1.77,109.640338,-9.70194,PC,0.4857920277162765,Gaia DR3 3047247002664569728,1,Gaia DR3 3047247002664569728,,,3.1176078,1.1078436,1134.0841,1111.5951,1158.411,00,5725.997,0.96062595,5725.9970703125,1.7572692294174332,3.0253402880759768,0.041519684247686685,out
2892.01,TIC 340559155,14.9502738,4.464,8070.0,15.1651,950.0,135.41,5068.0,4.58,0.79,116.213624,-59.551153,PC,0.1485145808803213,Gaia DR3 5292766371563279488,1,Gaia DR3 5292766371563279488,,,0.38341075,0.8082121,379.61942,377.57693,381.2929,00,5063.517,1.039044,5063.51708984375,0.6327279984394548,1.124178929801989,0.11063086500471016,out
2894.01,TIC 315120585,7.4190257,2.472,11610.0,11.48,852.0,87.5704,6004.0,4.47,1.02,145.428958,-24.78535,PC,-0.1310565055753159,Gaia DR3 5661760515338658944,1,Gaia DR3 5661760515338658944,,,1.1608717,1.0154536,607.94885,602.3871,612.99896,00,5900.273,0.9972271,5900.27294921875,1.064813336667156,1.8188448098925287,0.0748260872075933,out
2903.01,TIC 268125229,3.5947639,1.81,3070.0,5.10241,1015.0,176.712,5594.0,4.5,0.93,116.065365,-51.874845,PC,0.3349670641968671,Gaia DR3 5492766299707021696,1,Gaia DR3 5492766299707021696,,,0.6224753,0.8450636,380.4225,378.91547,381.7247,00,5237.2534,0.9355665,5237.25341796875,0.8007676796450416,1.4108317022784063,0.04341886618573761,out
2904.01,TIC 267536225,7.5010022,3.977,2550.0,7.05091,1339.0,534.505,5673.0,4.21,1.31,114.184839,-53.204584,PC,0.1335261002290733,Gaia DR3 5492294162541787904,1,Gaia DR3 5492294162541787904,,,1.5067648,0.96717054,511.96332,509.22653,514.3452,00,5719.032,0.94088113,5719.0322265625,1.2220035513437146,2.1044911641050206,0.07416214947799366,out
2906.01,TIC 192259856,3.7062792,3.008,13910.0,13.4147,1440.0,714.906,6524.0,4.49,1.09,137.390723,-37.796842,PC,0.1022940199316549,Gaia DR3 5622845431584511744,1,Gaia DR3 5622845431584511744,,,1.4135045,1.0217255,581.82227,578.3714,585.4726,00,5882.065,0.92198974,5882.06494140625,1.1758361426318862,2.01011139951465,0.04720687640726442,out
2912.01,TIC 118406995,8.7614828,3.301,4200.0,11.807,1037.0,192.233,6614.0,4.05,1.83,128.826991,-56.640286,PC,0.1209420607196525,Gaia DR3 5315315396552900608,1,Gaia DR3 5315315396552900608,6496.0,00100020000009999999999999999999999999999,4.9245653,1.377142,533.6174,530.45013,537.5451,00,6432.717,0.8545373,6496.0,2.1436546661918254,3.573635331880702,0.09253650063670972,out
2916.01,TIC 76663549,3.9216762,2.075,17400.0,13.1754,1182.0,325.02,6706.0,4.63,0.96,140.683121,-45.092394,PC,0.1195841472736407,Gaia DR3 5423643233489365760,1,Gaia DR3 5423643233489365760,,,1.0133549,0.9707385,582.6277,578.4326,587.38885,00,5725.444,1.0813128,5725.44384765625,1.0018854090932847,1.7249042425464869,0.04818926802193568,out
2918.01,TIC 74881311,9.5680636,3.982,9400.0,9.53977,1041.0,195.344,6511.0,4.57,0.99,138.138217,-46.400703,PC,0.1934086193853559,Gaia DR3 5327620993247615744,1,Gaia DR3 5327620993247615744,,,1.0236295,0.946909,633.2824,630.0372,637.0797,00,5720.0435,1.0191743,5720.04345703125,1.0071714486246592,1.7344344646908691,0.0866138239464803,out
2919.01,TIC 74274839,4.6957057,2.633,13800.0,10.543,999.0,165.667,5475.0,4.53,0.89,137.261531,-44.69446,PC,0.1345402049488697,Gaia DR3 5330826928639706880,1,Gaia DR3 5330826928639706880,,,0.5081008,0.8285514,328.18213,327.04626,329.0372,00,5229.206,1.0342036,5229.2060546875,0.7236992055581314,1.2755439035114762,0.05154368861454139,out
2921.01,TIC 45896295,3.0044799,3.19,11000.0,13.4546,1596.0,1078.67,6302.0,4.34,1.25,131.498216,-57.970633,PC,0.2131108835544947,Gaia DR3 5302912493073731712,1,Gaia DR3 5302912493073731712,,,2.037122,1.124579,705.43036,700.04315,710.47235,00,6214.064,0.9265286,6214.06396484375,1.3932525202183021,2.3482332776846486,0.042375153054072245,out
2922.01,TIC 45492609,1.3605223,0.715,1440.0,5.14347,1190.0,333.693,5924.0,4.35,1.15,148.530378,-36.533331,PC,0.0399999991059303,Gaia DR3 5434103639213874176,1,Gaia DR3 5434103639213874176,6019.0,00000010000009999999900999999999999999999,1.4943647,0.9711497,380.08627,376.8626,382.83716,00,5731.9727,1.6704651,6019.0,1.2024200362881188,2.043260840615542,0.02379583386424294,out
2924.01,TIC 45048546,7.3498345,4.0296279,5726.6329422,10.9465595,1175.1480188,450.7038757,6571.0,4.31,1.34715,129.565989,-54.087096,PC,0.0828734696947645,Gaia DR3 5318051565597339648,1,Gaia DR3 5318051565597339648,,,2.837157,1.2284172,559.22754,556.1603,562.0089,00,6348.4697,0.97371054,6348.4697265625,1.6358865295142335,2.74243253351128,0.07923226881247349,out
2929.01,TIC 31975443,2.0391352,2.1,19130.0,11.8618,1429.0,693.385,5773.0,4.55,0.89,137.057803,-43.58446,PC,0.1224656607365175,Gaia DR3 5427151362776721792,1,Gaia DR3 5427151362776721792,,,0.60353106,0.8897725,456.69543,453.91177,459.80096,00,5382.6587,0.99966025,5382.65869140625,0.7839475669589849,1.3715808042174134,0.03026858349995475,out
2930.01,TIC 30300445,7.2041454,3.527,1970.0,10.8839,1450.0,735.576,7176.0,3.91,2.34,133.916868,-43.399202,PC,0.0810564085841178,Gaia DR3 5332077245151475072,1,Gaia DR3 5332077245151475072,6348.0,00000010000009999999900999999999999999999,8.233621,1.5415859,770.43726,764.48914,776.21375,00,6231.1685,0.8742248,6348.0,2.786855955773251,4.67202596983072,0.0843294599476558,out
2931.01,TIC 29505837,8.6681997,5.864,3880.0,11.0832,1312.0,492.998,6133.0,4.01,1.77,133.202995,-43.353789,PC,0.3400000035762787,Gaia DR3 5523867463568297728,1,Gaia DR3 5523867463568297728,5915.0,00000020000009999999999999999999999999999,3.3101296,1.1400008,645.27026,640.1788,650.19324,00,5916.1855,0.99286765,5915.0,1.7969993334540901,3.067517619742916,0.08626926293148908,out
2938.01,TIC 11417087,4.942456,2.504,16530.0,12.1509,957.0,139.422,5516.0,4.49,0.92,145.935851,-25.544412,PC,0.2000000029802322,Gaia DR3 5658703215881980672,1,Gaia DR3 5658703215881980672,5717.0,00000011000009999999999999999999999999999,0.71648395,0.93664753,233.94579,232.99937,234.89807,00,5543.4805,1.426235,,,,0.055559163715469796,out
2942.01,TIC 3840990,3.525723,4.582,4730.0,12.6783,1849.0,1943.53,6442.0,4.02,1.85,139.819823,-39.68824,PC,-0.0111575319620547,Gaia DR3 5429507478756036352,1,Gaia DR3 5429507478756036352,,,4.8485594,1.3698567,1001.51697,990.42334,1012.136,00,6379.178,0.92834115,6379.17822265625,2.1361054595871534,3.5767508684553126,0.05034916443877861,out
