toi,tid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_eqt,pl_insol,st_teff,st_logg,st_rad,ra,dec,tfopwg_disp,fe_h,gaia_source_id
4834.01,TIC 77550515,3.118166,2.285,5150.0,8.60632,1133.0,273.914,5218.8,4.27,1.15,142.40406,-0.992604,PC,0.11770531320233665,Gaia DR3 3839703751921971584
4835.01,TIC 434428836,5.1953991,3.032,4920.0,13.6454,1198.0,343.068,6047.0,3.97,1.82,139.346697,-20.923355,PC,-0.16997581653726251,Gaia DR3 5676218406049098240
4838.01,TIC 374200604,0.760019,0.638738,1865.5886518,7.2902589,2529.0245379,9667.9228084,5690.2,4.0,1.65999,158.073445,2.237845,FP,0.4300000071525574,Gaia DR3 3855957797955377408
484.01,TIC 427348923,4.728681,4.533,9990.0,8.96336,1075.0,222.388,4425.0,4.57,0.9,83.531883,-0.207762,FP,0.14640000462532043,Gaia DR3 3220802645355817088
4840.01,TIC 80029842,2.3992876,2.545,1180.0,4.05839,1746.0,1543.44,6536.0,4.45,1.15,121.23238,-47.76813,FP,-0.12819345735716586,Gaia DR3 5517741461514896512
4843.01,TIC 258051471,8.3548746,3.253,4160.0,10.7025,1054.0,205.555,6643.0,4.16,1.63,126.694615,-27.024954,PC,0.2035079413131276,Gaia DR3 5694812041038410240
4844.01,TIC 143994382,4.5425274,2.92,8670.0,11.925,1489.0,818.029,7333.0,4.45,1.28,119.174735,-42.963073,PC,0.1650326327886169,Gaia DR3 5533824537794181504
4845.01,TIC 26305150,4.21909,4.9314032,3393.7752478,12.0136223,1508.1261899,1222.564355,5367.0,3.79,2.02385,153.910453,-9.324686,PC,0.35282946325691716,Gaia DR3 3768653280470227328
4849.01,TIC 132534906,3.0617364,1.947,6620.0,8.08218,1369.0,583.235,6783.0,4.62,0.98,119.771898,-37.900646,FP,-0.07980233364323591,Gaia DR3 5538217224186736000
485.01,TIC 427352241,1.2667147,1.712,1870.0,8.31491,2105.0,3265.32,6084.0,4.28965,1.87,83.622986,-4.415044,FP,0.0,Gaia DR3 3209651570229034624
4850.01,TIC 332705008,7.6778159,3.492,6370.0,17.73,1422.0,680.523,5938.0,4.32,1.19,150.189168,-14.834691,PC,-0.4598688661806244,Gaia DR3 5686485302031306496
