,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_smet,ExoplanetCandidate
2960,419.97507836,12.1687,275.1,1.53,215.0,0.51,5316.0,4.477,0.872,0.0,0
2961,4.76559056,2.2,67.5,0.92,1167.0,439.42,5702.0,4.258,1.125,-0.28,1
2962,2.98618134,2.969,122.9,1.16,1356.0,798.35,6173.0,4.447,1.041,-0.04,1
2963,25.9200092,5.609,331.4,1.28,515.0,16.59,5517.0,4.631,0.704,-0.58,0
2964,6.17817366,3.2601,101.9,1.22,1082.0,324.69,5931.0,4.322,1.101,-0.24,1
2965,2.04516705,3.625,154.8,2.9,2945.0,17791.98,9206.0,4.112,2.157,0.07,0
2966,7.25101997,2.799,122.8,0.91,807.0,100.18,5382.0,4.571,0.827,0.1,1
2967,5.65178922,3.0933,134.1,2.03,1248.0,574.71,6085.0,4.218,1.463,0.48,1
2968,19.96367208,2.6403,270.9,1.5,564.0,23.88,5250.0,4.541,0.79,-0.16,1
2969,57.3840375,4.336,241.7,1.62,397.0,5.85,5250.0,4.541,0.79,-0.16,1
2970,1.541676547,1.9118,296.5,1.88,1592.0,1517.84,5533.0,4.337,1.089,0.18,1
2971,6.397185875,5.8638,18887.0,15.02,981.0,218.59,5780.0,4.438,1.0,0.0,0
2972,2.976020742,3.73,114.9,2.07,1740.0,2169.16,5947.0,3.939,1.796,-0.34,0
2973,15.95995611,4.3149,523.2,2.27,721.0,63.95,5936.0,4.501,0.965,0.07,1
2974,7.37867551,3.349,125.1,1.11,933.0,178.68,5936.0,4.501,0.965,0.07,1
2975,4.903321801,2.8887,334.5,2.37,1247.0,570.65,6045.0,4.276,1.298,0.16,1
2976,1.82708193,1.96401,1164.7,5.95,1877.0,2925.17,5311.0,3.864,1.769,-0.46,1
2977,22.845241036,5.3007,45676.0,30.35,762.0,79.78,5926.0,4.187,1.351,-0.04,0
2978,2.5738437,1.92,46.6,0.57,1129.0,384.24,5115.0,4.477,0.854,0.08,1
2979,18.3980827,4.438,145.0,1.26,686.0,52.31,5605.0,4.381,1.015,0.0,0
