toi,tid,tfopwg_disp,ra,dec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,gaia_id,SOURCE_ID,phot_g_mean_mag,mh_gspphot,teff_gspphot,logg_gspphot,azero_gspphot,ebpminrp_gspphot,ag_gspphot,mg_gspphot,libname_gspphot,alphafe_gspspec,mh_gspspec,fem_gspspec,flags_gspspec,radius_flame,lum_flame,mass_flame,age_flame,r_med_geo,r_lo_geo,r_hi_geo,calibrated_gspphot,calibrated gspspec,metallicity,source_of_met,Prediction,multi_pl,spectral_type
1099.01,TIC 290348383,CP,328.718171,-77.338802,5307.220927000046,6.441006,1.812,914.0,2.56374,87.8902,853.0,4867.0,4.438,0.8,6356417496318028800,6.356417496318029e+18,7.9835877,0.0176,4740.542,4.5211,0.0,0.0,0.0,6.1137,MARCS,0.04,0.2,,00000001000009999999999999999999999999999,0.81973535,0.30572224,0.78337026,9.647628,23.638252,23.62975,23.650347,0.0545149823092159,0.2,0.1740582815321536,a_spec,1,0,K
110.01,TIC 281459670,KP,5.618525,-59.942589,3495.0399340000004,3.1743504,2.751086,15457.3247576,14.9172256,718.9096994,1320.6518234,5943.0,4.42524,1.15706,4906145613282734208,4.906145613282734e+18,12.073773,-0.0893,5821.203,4.3277,0.001,0.0005,0.0009,4.4257,MARCS,-0.02,0.5,,00000010000009999999999999999999999999999,1.1015922,1.2549675,0.99558014,7.2217646,340.40677,338.96298,341.6137,0.075107106455339,0.5,0.5126531975481704,a_spec,0,0,G
1104.01,TIC 451599528,PC,279.721286,-85.709137,4534.034326999914,341.2811281,6.303026,972.5797241,4.7531892,121.1597998,846.173434,6058.6,4.2,1.39203,6345896578791113472,6.345896578791114e+18,7.973751,-0.6765,5910.0894,4.1832,0.0011,0.0005,0.0009,3.7936,PHOENIX,0.09,-0.07,-0.13,00000000000001111000000999900009999999999,1.455655,2.2898197,1.0604643,7.9881325,68.32942,67.74526,68.927635,-0.231281500510508,-0.07,-0.2,f_spec,1,0,F
1105.01,TIC 274151135,CP,146.053969,-89.471513,5253.979445999954,10.8680523,2.375,1553.0,2.90726,20.7383,594.0,4664.0,4.55,0.76,5188175980806170624,5.188175980806171e+18,10.925037,0.2101,4678.4644,4.5776,0.0737,0.0299,0.0571,6.3783,MARCS,-0.0,0.02,-0.03,00000001000009999999900999900999999999999,0.7544369,0.2456347,0.737069,,79.301125,79.22864,79.375496,0.1640783227945036,0.02,-0.0099999999999999,f_spec,1,0,K
1107.01,TIC 394561119,CP,155.607863,-82.218869,4503.073646000121,4.0782392,4.8475616,6046.6959687,13.898174,1619.0081232,1617.8267296,6501.0,4.08,1.74836,5192364501633274880,5.192364501633275e+18,10.377336,-0.2691,6450.54,4.0503,0.2377,0.1111,0.2057,2.8724,MARCS,0.25,-0.21,0.2,00000020000009999999999999902999999999999,1.8168769,5.1431313,1.3910011,2.4871857,286.65344,285.46793,287.66837,-0.1734927630225256,-0.21,-0.0099999999999999,f_spec,1,0,F
111.01,TIC 355703913,KP,0.774487,-62.469317,3493.1054859999567,2.1061569,1.4688934,12142.2238514,13.086872,691.8428073,1308.0417533,5380.0,4.4337,0.940697,4904523077718046720,4.904523077718047e+18,13.666666,-0.0276,5327.821,4.4507,0.0009,0.0004,0.0008,5.1517,MARCS,,,,,0.9542457,0.6616619,,,504.78897,502.07492,507.46414,0.1454224948574629,,0.1454224948574629,cal_phot,1,0,G
1116.01,TIC 304100538,PC,27.699972,-75.848774,3492.6619060002267,5.0100708,2.0644756,409.4812214,2.3107394,210.6631712,971.6657708,5551.0,4.46214,0.906282,4636943797678881408,4.636943797678882e+18,9.999876,-0.1859,5523.859,4.4724,0.0012,0.0005,0.0009,5.081,PHOENIX,0.08,0.11,-0.03,00000001000009922009900129900999999999999,0.89026713,0.66505605,0.9453524,3.5669293,94.24473,94.14434,94.36396,0.1986834621502246,0.11,0.08,f_spec,1,0,G
112.01,TIC 388104525,KP,55.933639,-65.19378,5236.773645999841,2.4997996,2.865171,14621.2059647,13.8516093,907.8624196,1399.9894384,5650.0,4.28867,1.13732,4672607178880426624,4.672607178880427e+18,12.094685,0.1307,5615.044,4.3099,0.2176,0.0957,0.1798,4.5248,MARCS,0.01,0.52,,00000010000009999999999999999999999999999,1.1249548,1.1326275,0.91642016,12.7846,300.96115,299.95444,301.7659,0.1779766947970303,0.52,0.5135934669856104,a_spec,1,0,G
113.01,TIC 97409519,KP,332.714337,-30.749719,3494.053084999789,3.372877,2.63426,17163.60419,14.201803,615.165921,1270.187448,6050.0,4.45061,1.02,6614751532833886464,6.614751532833886e+18,12.564566,-0.1358,5978.694,4.32,0.0005,0.0002,0.0005,4.243,MARCS,-0.06,0.34,,00000020000009999999999999999999999999999,1.1455622,1.5100327,1.0623385,4.8576374,469.56674,466.35165,473.09253,-0.0074678970993453,0.34,0.3773112081781519,a_spec,0,0,F
1130.01,TIC 254113311,CP,286.376004,-41.43764,5311.137122000102,8.34998,1.836,16680.0,11.1424,19.9348,588.0,4236.0,4.52,0.74,6715688452614516736,6.715688452614517e+18,10.898942,,,,,,,,,0.09,0.11,-0.05,00000000000009999999900999900999999999999,,,,,58.308617,58.25219,58.38605,,0.11,0.06,f_spec,1,1,K
1130.02,TIC 254113311,CP,286.376004,-41.43764,5293.924263999797,4.0686405,1.8373729,2650.0950013,3.7548333,84.108766,772.378302,4236.0,4.52,0.741921,6715688452614516736,6.715688452614517e+18,10.898942,,,,,,,,,0.09,0.11,-0.05,00000000000009999999900999900999999999999,,,,,58.308617,58.25219,58.38605,,0.11,0.06,f_spec,1,1,K
1135.01,TIC 154872375,CP,193.39637,85.129495,5633.308710000012,8.0277331,4.292,5704.0,9.08479,256.544,1114.0,5962.7,4.38,1.15,1726858366624544640,1.7268583666245448e+18,9.41864,-0.2264,6000.5503,4.264,0.0022,0.001,0.0019,4.1234,MARCS,0.26,-0.21,,00100001000009999002200999999999999999999,1.1807545,1.6297324,1.0695695,5.114369,113.94477,113.81748,114.07568,-0.1167794247799341,-0.21,-0.3926911055166745,a_spec,1,0,G
1136.01,TIC 142276270,CP,192.184898,64.855276,4779.447691000067,12.5187279,5.38,2320.0,5.58857,626.362,1393.0,5729.0,4.47,0.98,1677343097418015488,1.6773430974180155e+18,9.375505,-0.2051,5672.2026,4.4128,0.0016,0.0007,0.0013,4.73,MARCS,0.17,-0.14,0.01,00000001000009922001000999900029999999999,1.0038788,0.9402703,0.95499855,7.307675,84.43211,84.35404,84.49386,-0.0695761837922369,-0.14,-0.13,f_spec,0,1,G
1136.02,TIC 142276270,CP,192.184898,64.855276,5533.026513999794,6.2586065,3.201,813.0,2.51593,232.392,1087.0,5729.0,4.47,0.98,1677343097418015488,1.6773430974180155e+18,9.375505,-0.2051,5672.2026,4.4128,0.0016,0.0007,0.0013,4.73,MARCS,0.17,-0.14,0.01,00000001000009922001000999900029999999999,1.0038788,0.9402703,0.95499855,7.307675,84.43211,84.35404,84.49386,-0.0695761837922369,-0.14,-0.13,f_spec,1,1,G
