toi,tid,tfopwg_disp,ra,dec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,Gaia_DR3_ID,Fe_H
5197.01,TIC 219431828,APC,146.712487,76.893849,20.5773388,1.503,8520.0,8.59393,2.81608,360.0,5062.0,4.47,0.89,Gaia DR3 6533307957785865856,0.17000000178813934
5198.01,TIC 193628179,FP,266.562261,46.498341,3.2623468,2.91,8540.0,13.2175,689.893,1427.0,5957.4,4.18,1.41,Gaia DR3 3325523186507839744,
5199.01,TIC 298049015,FP,185.336268,81.647682,3.9131371,1.846,37860.0,12.4444,25.4932,625.0,3773.0,4.64,0.62,Gaia DR3 5559795380393570560,
520.01,TIC 148479278,PC,102.657977,-37.960195,0.523613,2.3004521,82.9259401,1.4861645,26568.3567102,3256.1988827,7450.0,4.33986,1.52949,Gaia DR3 5582647836223843840,
5200.01,TIC 21101556,PC,274.422007,52.572205,17.4372954,2.967,2060.0,11.4845,215.608,1067.0,6520.0,4.26,1.43,Gaia DR3 2885350546895266432,
5201.01,TIC 267810289,PC,293.096015,58.368884,3.8558229,3.462,13730.0,17.8128,502.171,1318.0,5704.0,4.1,1.48,,
5202.01,TIC 320324079,PC,246.458472,74.838054,34.6141657,2.66,1470.0,7.6965,31.4696,659.0,6382.0,4.07,1.72,,
5203.01,TIC 158323182,PC,286.90686,47.905245,15.1255732,6.424,2080.0,10.2442,161.672,993.0,5907.2,3.75,2.28,Gaia DR3 4805634616824440192,
5204.01,TIC 65845738,PC,310.938842,40.29807,1.593603,3.244,5300.0,14.4804,5402.33,2388.0,6589.0,3.98,1.99,Gaia DR3 4805634616824440192,
5205.01,TIC 419411415,CP,313.770682,24.360977,1.6306523,1.202,68050.0,11.1125,30.1966,653.0,3262.0,4.83,0.4,Gaia DR3 4805634616824440192,
5206.01,TIC 159117779,PC,192.905209,78.027244,4.4716261,6.451,5000.0,17.4958,1694.87,1787.0,5972.0,3.72,2.41,Gaia DR3 4805634616824440192,-0.10300000011920929
5207.01,TIC 147892178,PC,142.729233,71.740257,24.6951647,3.696,13290.0,6.41046,3.18912,372.0,3850.0,4.68,0.56,Gaia DR3 4805634616824440192,-0.17000000178813934
5209.01,TIC 111108561,PC,291.871283,25.453331,2.635737,2.207,21500.0,13.8231,479.892,1303.0,5900.0,4.54,0.92,Gaia DR3 3004694455255497216,
521.01,TIC 27649847,PC,123.344257,12.222108,1.5428486,1.1958898,2154.4855781,1.9653032,60.0176145,709.8873414,3439.0,4.97486,0.420028,Gaia DR3 6539037542941988736,-0.10599999874830246
5210.01,TIC 265979849,PC,314.316923,21.950206,4.5661309,3.543,7630.0,11.6029,377.954,1228.0,5569.0,4.21,1.28,,
5211.01,TIC 215595454,PC,295.168022,28.682559,2.0961984,3.22,13710.0,18.2172,2405.31,1951.0,6379.0,4.15,1.57,Gaia DR3 3050905387084444928,
5212.01,TIC 424699834,FP,294.459175,58.986723,2.4011407,3.6926411,3193.9893038,11.6862609,1918.6201878,1687.9788551,5911.0,4.11,1.50878,Gaia DR3 2941018167776358144,
5213.01,TIC 247356332,PC,309.275892,29.365411,4.5333993,1.083,7690.0,16.84,159.735,990.0,6254.0,4.42,1.12,Gaia DR3 2937982553614634240,
5214.01,TIC 7583660,PC,272.537667,47.875676,5.3333965,5.577,2710.0,13.3147,871.955,1513.0,5840.8,3.65,2.53,Gaia DR3 2970881212822317568,
5215.01,TIC 236632480,PC,314.987438,31.485279,7.4244269,3.655,7290.0,11.1736,196.654,1043.0,5873.0,4.21,1.34,Gaia DR3 2990678228919840128,
5216.01,TIC 256561562,PC,299.937613,61.653163,1.8951273,3.518,2130.0,10.1981,5318.45,2379.0,6818.0,3.89,2.28,Gaia DR3 2924724333166562944,
5217.01,TIC 215018906,PC,294.922389,28.572231,4.3713133,4.113,2960.0,12.9868,847.146,1502.0,6029.0,3.71,2.45,Gaia DR3 5578799133210115328,
5218.01,TIC 259172249,CP,292.663464,71.762961,4.2914879,2.3462656,19180.7233775,9.3875781,49.1792111,675.4063492,3937.0,4.59,0.675707,Gaia DR3 2924619639044131456,
5219.01,TIC 378708888,PC,302.828492,34.368508,2.88753,3.547,7680.0,16.2965,1422.54,1710.0,6095.0,3.95,1.87,Gaia DR3 4673483936324461184,
522.01,TIC 19451711,PC,124.602684,-7.571238,0.3969687,1.5006666,110.7179018,2.108062,58306.893695,3963.2340986,7381.0,4.438,1.86219,Gaia DR3 3046204150242468480,-0.11999999731779099
5220.01,TIC 394691478,PC,291.435194,30.028078,2.0876485,2.873,12940.0,18.0794,2243.2,1917.0,6655.0,4.19,1.58,Gaia DR3 3005862518856922752,-0.2800000011920929
5221.01,TIC 233409941,PC,302.166535,59.482017,4.4247361,2.757,13312.0,10.688,223.224,1076.0,5536.0,4.48,0.94,Gaia DR3 3045354468270842880,
5222.01,TIC 30791047,APC,289.709501,31.648175,13.3057762,5.5,3700.0,13.7171,505.593,1321.0,8104.0,4.02,2.26,Gaia DR3 3001146090714250752,
5223.01,TIC 377297285,PC,286.716198,54.612108,4.0656968,4.2275632,13698.7386688,18.7081977,1207.0370102,1503.3146725,6424.0,4.18,1.53116,Gaia DR3 3802583419029393152,0.14000000059604645
5224.01,TIC 406361982,PC,308.190536,27.546096,5.2819763,5.909,3320.0,14.0062,1409.33,1706.0,6228.0,3.72,2.5,Gaia DR3 3802583419029393152,0.05999999865889549
5225.01,TIC 383645563,PC,278.846728,60.427895,22.9367426,1.706,3520.0,8.88483,5.57635,428.0,5721.0,4.19,1.34,,0.14000000059604645
5226.01,TIC 195093356,FP,313.339745,37.475083,7.8284207,5.456,32460.0,17.0783,275.376,1134.0,5707.0,4.5,0.94,,0.14000000059604645
5227.01,TIC 313453776,PC,198.684521,75.235992,3.7325203,2.851,4800.0,9.10598,445.556,1279.0,5824.6,4.24,1.3,Gaia DR3 6629580646162393984,-0.03999999910593033
5228.01,TIC 154014059,PC,206.75296,68.867137,8.3221959,2.771,4460.0,11.2943,90.1896,858.0,5899.0,4.03,1.65,,
5229.01,TIC 288428649,PC,269.035507,78.213123,5.9184575,2.947,1240.0,3.4729,130.7,941.0,5087.5,4.41,0.97,,
523.01,TIC 93125144,FA,84.846558,-19.55834,9.91102,2.981681,6044.13412,7.705774,63.4418379,719.8030598,4692.0,4.29723,0.941705,Gaia DR3 4928367189958259968,0.0
5230.01,TIC 55778666,PC,182.33384,57.503601,7.1452343,3.169,14520.0,12.0822,120.883,923.0,5685.0,4.46,0.98,Gaia DR3 4928367189958259968,-0.6179999709129333
5231.01,TIC 105387356,FP,300.767548,31.059697,1.5163046,3.619,1180.0,10.3854,7863.45,2623.0,6529.0,3.58,3.11,Gaia DR3 4928367189958259968,
5232.01,TIC 69356857,CP,294.337425,35.276493,4.0966887,4.557,5620.0,12.9734,1193.86,1637.0,6212.0,4.04,1.74,Gaia DR3 4928367189958259968,
5233.01,TIC 259100469,PC,291.172808,69.125175,25.763332,1.668,2560.0,5.77167,3.75556,387.0,5795.0,4.41,1.06,Gaia DR3 4928367189958259968,
5234.01,TIC 335681838,PC,222.513957,63.038437,15.1016086,4.403,520.0,2.71644,126.721,934.0,6511.0,4.42,1.18,Gaia DR3 4928367189958259968,
5235.01,TIC 154814765,PC,183.093158,84.411214,26.1442304,2.368,1980.0,8.19739,35.8503,681.0,5721.0,4.38,1.08,Gaia DR3 4722750166146489600,
5236.01,TIC 193765661,PC,306.286561,43.233222,10.9974977,7.182,3400.0,9.89885,461.346,1291.0,6188.0,3.83,2.18,,
5237.01,TIC 435740442,PC,297.495261,29.891252,2.9889845,1.858,13920.0,17.7415,314.21,1172.0,6002.0,4.18,1.42,Gaia DR3 1259922196651254272,-0.30000001192092896
5238.01,TIC 219016883,CP,223.358891,68.859472,4.8721904,2.584,2180.0,4.89644,195.925,1042.0,5430.5,4.42,1.02,,
5239.01,TIC 230290708,PC,276.382262,44.901409,11.3182327,2.956,5080.0,8.83548,59.5158,773.0,5969.0,4.29,1.24,Gaia DR3 12320268307415552,0.07999999821186066
524.01,TIC 365690646,FA,81.54323,6.912307,12.983175,1.527578,1180.996904,5.933251,397.4686874,1138.7948113,6962.64,4.14716,1.67983,Gaia DR3 3007460040533835008,
